model,dice_f1,precision,recall_sensitivity,boundary_f1,cldice,n_images
ENetE1,0.7636426777795571,0.8158162100456586,0.7177412875364039,0.7448208916235256,,300
ENetGlobalCtxG10,0.7591742071348105,0.8298331398284352,0.6996040667176525,0.7364042219492326,0.7461112733624301,300
ENetGlobalCtxG3,0.7634345389334068,0.8282214742812026,0.7080480682318558,0.7430086639188538,0.7524321979325281,300
ENetSkipA3,0.7585261119910532,0.825300430344631,0.701748286864283,0.7343843839944327,0.7457040305295647,300
ENetUpscaleArchUAS2,0.7605429354661399,0.8368092719727946,0.6970171738475418,0.7409106170026175,0.7502490058194028,300
ENetUpscaleArchUAS8,0.759321501984966,0.8282862170248565,0.7009583516814584,0.738199512374468,0.7500099589632384,300
ENetUpscaleSkipD1,0.7513537535594974,0.8182893046383348,0.6945407560201147,0.732822119440026,0.7430771285453215,300
ENetUpscaleSkipD2,0.7583033193219179,0.825865912278734,0.7009591242342045,0.7301089883686337,0.7414300741806107,300
ENet,0.7570352012399122,0.8226506921832926,0.7011136347834122,0.7342997696068366,,300
LMUNetM0,0.7350069615034375,0.7822836530287104,0.6931188726910303,0.7149887443721745,0.7261033972058861,300
LMUNet,0.7505095464403401,0.8037860244229155,0.7038565833082228,0.7317783907974674,,300
PUNet,0.706236764239582,0.7539665626573043,0.6641902488392369,0.6758559003827664,,300
