id,name,track,channels,bottlenecks,decoder_type,params,params_m,final_dice,best_dice,momentum,acceleration,num_dice_epochs,mean_epoch_time_s,duration_s,returncode,hypothesis,pseudo_dice_by_epoch,results_root
BD01,bd_stage1,bottleneck_depth,"16,64,128,64,16","8,8,8,2,1",upsample_conv,388057,0.388057,0.8007,0.8039,0.023599999999999954,-0.007471428571428573,15,25.204666666666665,,0,bottleneck-depth track: +4 blocks to stage1 vs Original's native depth.,0.701200;0.729700;0.741900;0.737200;0.780900;0.772300;0.772600;0.777100;0.787400;0.796500;0.784100;0.800400;0.803900;0.802300;0.800700,/workspace/LightM-UNet/upscale/results/pareto_e15/BD01_bd_stage1
BD02,bd_stage2,bottleneck_depth,"16,64,128,64,16","4,12,8,2,1",upsample_conv,442553,0.442553,0.8076,0.8076,0.01980000000000004,-0.012828571428571411,15,23.56133333333333,,0,bottleneck-depth track: +4 blocks to stage2 vs Original's native depth.,0.678200;0.724100;0.752900;0.747600;0.772000;0.756400;0.782400;0.787800;0.783500;0.794400;0.799100;0.799100;0.795000;0.804000;0.807600,/workspace/LightM-UNet/upscale/results/pareto_e15/BD02_bd_stage2
BD03,bd_stage3,bottleneck_depth,"16,64,128,64,16","4,8,12,2,1",upsample_conv,442553,0.442553,0.8023,0.8087,0.01200000000000001,-0.015814285714285715,15,23.722,,0,bottleneck-depth track: +4 blocks to stage3 vs Original's native depth.,0.667600;0.724900;0.730100;0.738700;0.765800;0.755900;0.777700;0.790300;0.778300;0.785400;0.789200;0.801200;0.808700;0.797900;0.802300,/workspace/LightM-UNet/upscale/results/pareto_e15/BD03_bd_stage3
BD04,bd_regular4,bottleneck_depth,"16,64,128,64,16","4,8,8,6,1",upsample_conv,387673,0.387673,0.8005,0.8005,0.02180000000000004,-0.009328571428571415,15,24.918666666666663,,0,bottleneck-depth track: +4 blocks to regular4 vs Original's native depth.,0.691600;0.720000;0.753200;0.759300;0.771800;0.774000;0.766500;0.778700;0.781300;0.779400;0.798700;0.798200;0.800000;0.797600;0.800500,/workspace/LightM-UNet/upscale/results/pareto_e15/BD04_bd_regular4
BD05,bd_regular5,bottleneck_depth,"16,64,128,64,16","4,8,8,2,5",upsample_conv,370777,0.370777,0.804,0.8074,0.02760000000000007,-0.010928571428571414,15,27.503999999999998,,0,bottleneck-depth track: +4 blocks to regular5 vs Original's native depth.,0.672300;0.721200;0.732200;0.752900;0.755500;0.752700;0.760000;0.776400;0.785800;0.790200;0.790700;0.801000;0.807400;0.788000;0.804000,/workspace/LightM-UNet/upscale/results/pareto_e15/BD05_bd_regular5
BD06,bd_stage1_stage2,bottleneck_depth,"16,64,128,64,16","8,12,8,2,1",upsample_conv,461113,0.461113,0.8122,0.8122,0.027100000000000013,-0.01092857142857143,15,26.979333333333336,,0,bottleneck-depth track: +4 blocks to stage1+stage2 vs Original's native depth.,0.681500;0.702600;0.740100;0.751600;0.769800;0.765300;0.771200;0.785100;0.768800;0.780600;0.804400;0.791700;0.804500;0.808000;0.812200,/workspace/LightM-UNet/upscale/results/pareto_e15/BD06_bd_stage1_stage2
BD07,bd_stage1_stage3,bottleneck_depth,"16,64,128,64,16","8,8,12,2,1",upsample_conv,461113,0.461113,0.8119,0.8119,0.04479999999999995,-0.014671428571428575,15,26.953333333333337,,0,bottleneck-depth track: +4 blocks to stage1+stage3 vs Original's native depth.,0.619600;0.738200;0.747400;0.761400;0.760300;0.784200;0.781300;0.767100;0.798200;0.790300;0.805900;0.802700;0.795300;0.808100;0.811900,/workspace/LightM-UNet/upscale/results/pareto_e15/BD07_bd_stage1_stage3
BD08,bd_stage1_regular4,bottleneck_depth,"16,64,128,64,16","8,8,8,6,1",upsample_conv,406233,0.406233,0.8018,0.8052,0.018199999999999994,-0.009714285714285707,15,28.55066666666666,,0,bottleneck-depth track: +4 blocks to stage1+regular4 vs Original's native depth.,0.697400;0.726300;0.726900;0.750100;0.769400;0.775900;0.775600;0.783600;0.780000;0.799100;0.780600;0.800500;0.803000;0.805200;0.801800,/workspace/LightM-UNet/upscale/results/pareto_e15/BD08_bd_stage1_regular4
BD09,bd_stage1_regular5,bottleneck_depth,"16,64,128,64,16","8,8,8,2,5",upsample_conv,389337,0.389337,0.8088,0.8125,0.03689999999999993,-0.0066714285714285825,15,30.881999999999998,,0,bottleneck-depth track: +4 blocks to stage1+regular5 vs Original's native depth.,0.688300;0.739000;0.725700;0.754400;0.766500;0.768300;0.781400;0.771900;0.783600;0.778700;0.796500;0.793700;0.800800;0.812500;0.808800,/workspace/LightM-UNet/upscale/results/pareto_e15/BD09_bd_stage1_regular5
BD10,bd_stage2_stage3,bottleneck_depth,"16,64,128,64,16","4,12,12,2,1",upsample_conv,515609,0.515609,0.8099,0.8099,0.023799999999999932,-0.012300000000000009,15,25.424,,0,bottleneck-depth track: +4 blocks to stage2+stage3 vs Original's native depth.,0.676200;0.724200;0.719900;0.755200;0.765800;0.780100;0.793000;0.786100;0.783000;0.790500;0.801800;0.799500;0.803500;0.801900;0.809900,/workspace/LightM-UNet/upscale/results/pareto_e15/BD10_bd_stage2_stage3
BD11,bd_stage2_regular4,bottleneck_depth,"16,64,128,64,16","4,12,8,6,1",upsample_conv,460729,0.460729,0.8149,0.8149,0.017899999999999916,-0.015900000000000025,15,26.86733333333333,,0,bottleneck-depth track: +4 blocks to stage2+regular4 vs Original's native depth.,0.667800;0.738200;0.745900;0.756200;0.758000;0.759300;0.782200;0.797000;0.788900;0.793000;0.792500;0.794500;0.808000;0.807500;0.814900,/workspace/LightM-UNet/upscale/results/pareto_e15/BD11_bd_stage2_regular4
BD12,bd_stage2_regular5,bottleneck_depth,"16,64,128,64,16","4,12,8,2,5",upsample_conv,443833,0.443833,0.8028,0.8028,0.028799999999999937,-0.010842857142857154,15,29.131999999999998,,0,bottleneck-depth track: +4 blocks to stage2+regular5 vs Original's native depth.,0.669300;0.683500;0.741600;0.759400;0.752300;0.770300;0.770600;0.774000;0.787000;0.797400;0.796700;0.788600;0.794900;0.790600;0.802800,/workspace/LightM-UNet/upscale/results/pareto_e15/BD12_bd_stage2_regular5
BD13,bd_stage3_regular4,bottleneck_depth,"16,64,128,64,16","4,8,12,6,1",upsample_conv,460729,0.460729,0.8071,0.8101,0.020100000000000007,-0.013242857142857143,15,26.485333333333333,,0,bottleneck-depth track: +4 blocks to stage3+regular4 vs Original's native depth.,0.674200;0.711100;0.746100;0.748300;0.748900;0.778000;0.783000;0.787000;0.785000;0.778300;0.792400;0.799700;0.801600;0.810100;0.807100,/workspace/LightM-UNet/upscale/results/pareto_e15/BD13_bd_stage3_regular4
BD14,bd_stage3_regular5,bottleneck_depth,"16,64,128,64,16","4,8,12,2,5",upsample_conv,443833,0.443833,0.8013,0.8042,0.020499999999999963,-0.016228571428571432,15,29.326666666666664,,0,bottleneck-depth track: +4 blocks to stage3+regular5 vs Original's native depth.,0.646700;0.700000;0.712200;0.747700;0.744600;0.774600;0.775500;0.780800;0.783100;0.785900;0.797200;0.804200;0.794900;0.803100;0.801300,/workspace/LightM-UNet/upscale/results/pareto_e15/BD14_bd_stage3_regular5
BD15,bd_regular4_regular5,bottleneck_depth,"16,64,128,64,16","4,8,8,6,5",upsample_conv,388953,0.388953,0.8151,0.8151,0.032400000000000095,-0.008914285714285701,15,30.4,,0,bottleneck-depth track: +4 blocks to regular4+regular5 vs Original's native depth.,0.687900;0.723000;0.750700;0.762500;0.783200;0.772300;0.769200;0.782700;0.785400;0.800700;0.790000;0.798900;0.800800;0.801600;0.815100,/workspace/LightM-UNet/upscale/results/pareto_e15/BD15_bd_regular4_regular5
MU01,mu_stem,max_unpool,"28,64,128,128,64,28","4,8,8,2,1",max_unpool,372110,0.37211,0.8023,0.8067,0.032299999999999995,-0.008857142857142866,15,22.989333333333335,,0,max_unpool track: bump stem by 1.75x vs Original.,0.675700;0.712200;0.750600;0.765500;0.757200;0.782200;0.781600;0.770000;0.782800;0.792100;0.793600;0.804900;0.806700;0.797200;0.802300,/workspace/LightM-UNet/upscale/results/pareto_e15/MU01_mu_stem
MU02,mu_flank,max_unpool,"16,112,128,128,112,16","4,8,8,2,1",max_unpool,451601,0.451601,0.7992,0.8001,0.029900000000000038,-0.014357142857142844,15,26.16133333333333,,0,max_unpool track: bump flank by 1.75x vs Original.,0.638900;0.696800;0.742800;0.758900;0.750000;0.781800;0.780500;0.769300;0.783600;0.789500;0.793200;0.796600;0.800100;0.798200;0.799200,/workspace/LightM-UNet/upscale/results/pareto_e15/MU02_mu_flank
MU03,mu_f2,max_unpool,"16,64,224,128,64,16","4,8,8,2,1",max_unpool,727641,0.727641,0.7848,0.8012,0.014800000000000035,-0.012599999999999991,15,23.838000000000005,,0,max_unpool track: bump f2 by 1.75x vs Original.,0.667000;0.713000;0.745400;0.725800;0.753600;0.757400;0.777400;0.770000;0.786200;0.786700;0.787000;0.783300;0.800200;0.801200;0.784800,/workspace/LightM-UNet/upscale/results/pareto_e15/MU03_mu_f2
MU04,mu_f3,max_unpool,"16,64,128,224,64,16","4,8,8,2,1",max_unpool,718569,0.718569,0.7978,0.8008,0.022299999999999986,-0.015800000000000005,15,24.236666666666665,,0,max_unpool track: bump f3 by 1.75x vs Original.,0.642600;0.677500;0.741000;0.731000;0.763900;0.767800;0.751600;0.775500;0.792000;0.784300;0.788000;0.788700;0.790700;0.800800;0.797800,/workspace/LightM-UNet/upscale/results/pareto_e15/MU04_mu_f3
